Country,Year,Count,Count_median,Count_min,Count_max,WHO Region
Netherlands,2018,NULL,NULL,NULL,NULL,Europe
New Zealand,2018,100,100,100,100,Western_Pacific
Nicaragua,2018,200,200,200,500,Americas
Niger,2018,1200,1200,970,1700,Africa
Nigeria,2018,53000,53000,31000,89000,Africa
Norway,2018,100,100,100,100,Europe
Oman,2018,100,100,100,100,Eastern_Mediterranean
Pakistan,2018,6400,6400,5200,7600,Eastern_Mediterranean
Panama,2018,500,500,500,530,Americas
Papua New Guinea,2018,NULL,NULL,NULL,NULL,Western_Pacific
Paraguay,2018,720,720,500,1200,Americas
Peru,2018,1000,1000,650,1900,Americas
Philippines,2018,1200,1200,800,1700,Western_Pacific
Poland,2018,NULL,NULL,NULL,NULL,Europe
Portugal,2018,500,500,500,500,Europe
Qatar,2018,NULL,NULL,NULL,NULL,Eastern_Mediterranean
Republic of Korea,2018,NULL,NULL,NULL,NULL,Western_Pacific
Republic of Moldova,2018,570,570,500,860,Europe
Republic of North Macedonia,2018,100,100,100,100,Europe
Romania,2018,200,200,100,200,Europe
Russian Federation,2018,NULL,NULL,NULL,NULL,Europe
Rwanda,2018,2900,2900,2400,3500,Africa
Saudi Arabia,2018,NULL,NULL,NULL,NULL,Eastern_Mediterranean
Senegal,2018,1300,1300,1000,1600,Africa
Serbia,2018,100,100,100,100,Europe
Sierra Leone,2018,2100,2100,1600,2800,Africa
Singapore,2018,100,100,100,100,Western_Pacific
Slovakia,2018,100,100,100,100,Europe
Slovenia,2018,100,100,100,100,Europe
Somalia,2018,710,710,530,1000,Eastern_Mediterranean
South Africa,2018,71000,71000,52000,91000,Africa
South Sudan,2018,9900,9900,6900,13000,Africa
Spain,2018,NULL,NULL,NULL,NULL,Europe
Sri Lanka,2018,200,200,200,500,South_East Asia
Sudan,2018,2900,2900,1400,5200,Eastern_Mediterranean
Suriname,2018,100,100,100,200,Americas
Sweden,2018,NULL,NULL,NULL,NULL,Europe
Switzerland,2018,NULL,NULL,NULL,NULL,Europe
Syrian Arab Republic,2018,100,100,100,100,Eastern_Mediterranean
Tajikistan,2018,500,500,500,500,Europe
Thailand,2018,18000,18000,13000,26000,South_East Asia
Timor-Leste,2018,NULL,NULL,NULL,NULL,South_East Asia
Togo,2018,3800,3800,3300,4200,Africa
Trinidad and Tobago,2018,NULL,NULL,NULL,NULL,Americas
Tunisia,2018,100,100,100,200,Eastern_Mediterranean
Turkey,2018,NULL,NULL,NULL,NULL,Europe
Turkmenistan,2018,NULL,NULL,NULL,NULL,Europe
Uganda,2018,23000,23000,19000,31000,Africa
Ukraine,2018,6100,6100,4700,8000,Europe
United Arab Emirates,2018,NULL,NULL,NULL,NULL,Eastern_Mediterranean
United Kingdom of Great Britain and Northern Ireland,2018,NULL,NULL,NULL,NULL,Europe
United Republic of Tanzania,2018,24000,24000,20000,29000,Africa
United States of America,2018,NULL,NULL,NULL,NULL,Americas
Uruguay,2018,200,200,100,500,Americas
Uzbekistan,2018,1300,1300,1100,1500,Europe
Venezuela (Bolivarian Republic of),2018,NULL,NULL,NULL,NULL,Americas
Viet Nam,2018,4700,4700,3200,6200,Western_Pacific
Yemen,2018,500,500,200,520,Eastern_Mediterranean
Zambia,2018,17000,17000,13000,22000,Africa
Zimbabwe,2018,22000,22000,17000,27000,Africa
Afghanistan,2010,500,500,200,500,Eastern_Mediterranean
Albania,2010,NULL,NULL,NULL,NULL,Europe
Algeria,2010,200,200,100,200,Africa
Angola,2010,10000,10000,7300,13000,Africa
Argentina,2010,1600,1600,1300,2000,Americas
Armenia,2010,200,200,200,200,Europe
Australia,2010,500,500,200,500,Western_Pacific
Austria,2010,NULL,NULL,NULL,NULL,Europe
Azerbaijan,2010,NULL,NULL,NULL,NULL,Europe
Bahamas,2010,200,200,200,500,Americas
Bahrain,2010,NULL,NULL,NULL,NULL,Eastern_Mediterranean
Bangladesh,2010,500,500,500,500,South_East Asia
Barbados,2010,100,100,100,100,Americas
Belarus,2010,200,200,100,500,Europe
Belgium,2010,NULL,NULL,NULL,NULL,Europe
Belize,2010,200,200,100,200,Americas
Benin,2010,2000,2000,980,4100,Africa
Bhutan,2010,100,100,100,500,South_East Asia
Bolivia (Plurinational State of),2010,1600,1600,1500,1800,Americas
Bosnia and Herzegovina,2010,100,100,100,100,Europe
Botswana,2010,7300,7300,6500,8000,Africa
Brazil,2010,15000,15000,11000,19000,Americas
Brunei Darussalam,2010,NULL,NULL,NULL,NULL,Western_Pacific
Bulgaria,2010,100,100,100,100,Europe
Burkina Faso,2010,4800,4800,3600,6300,Africa
Burundi,2010,5200,5200,4100,6400,Africa
Cabo Verde,2010,100,100,100,100,Africa
Cambodia,2010,2500,2500,1900,3400,Western_Pacific
Cameroon,2010,22000,22000,19000,25000,Africa
Canada,2010,NULL,NULL,NULL,NULL,Americas
Central African Republic,2010,7800,7800,6400,9400,Africa
Chad,2010,3500,3500,2600,4800,Africa
Chile,2010,NULL,NULL,NULL,NULL,Americas
China,2010,NULL,NULL,NULL,NULL,Western_Pacific
Colombia,2010,NULL,NULL,NULL,NULL,Americas
Comoros,2010,100,100,100,100,Africa
Congo,2010,3900,3900,3100,4800,Americas
Costa Rica,2010,500,500,200,500,Americas
Côte d'Ivoire,2010,24000,24000,17000,34000,Africa
Croatia,2010,100,100,100,100,Europe
Cuba,2010,500,500,200,500,Americas
Cyprus,2010,NULL,NULL,NULL,NULL,Europe
Czechia,2010,100,100,100,100,Europe
Democratic People's Republic of Korea,2010,NULL,NULL,NULL,NULL,Western_Pacific
Democratic Republic of the Congo,2010,34000,34000,27000,40000,Africa
Denmark,2010,100,100,100,100,Europe
Djibouti,2010,630,630,500,780,Eastern_Mediterranean
Dominican Republic,2010,3000,3000,2100,4300,Americas
Ecuador,2010,1100,1100,520,2200,Americas
Egypt,2010,200,200,200,500,Eastern_Mediterranean
El Salvador,2010,500,500,500,730,Americas
Equatorial Guinea,2010,1400,1400,970,1900,Africa
Eritrea,2010,620,620,500,980,Africa
Estonia,2010,200,200,200,200,Europe
Eswatini,2010,3800,3800,3400,4200,Africa
Ethiopia,2010,20000,20000,12000,35000,Africa
Fiji,2010,NULL,NULL,NULL,NULL,Western_Pacific
Finland,2010,100,100,100,100,Europe
France,2010,600,600,500,780,Europe
Gabon,2010,1600,1600,1100,2100,Africa
Gambia,2010,970,970,660,1400,Africa
Georgia,2010,100,100,100,100,Europe
Germany,2010,500,500,500,720,Europe
Ghana,2010,17000,17000,14000,19000,Africa
Greece,2010,NULL,NULL,NULL,NULL,Europe
Guatemala,2010,1700,1700,1500,1900,Americas
Guinea,2010,4100,4100,3300,5000,Africa
Guinea-Bissau,2010,1900,1900,1500,2200,Africa
Guyana,2010,100,100,100,200,Americas
Haiti,2010,4900,4900,3800,6600,Americas
Honduras,2010,1400,1400,990,1800,Americas
Hungary,2010,100,100,100,100,Europe
Iceland,2010,100,100,100,100,Europe
India,2010,NULL,NULL,NULL,NULL,South_East Asia
Indonesia,2010,24000,24000,19000,28000,South_East Asia
Iran (Islamic Republic of),2010,2400,2400,1700,3500,Eastern_Mediterranean
Ireland,2010,100,100,100,100,Europe
Israel,2010,100,100,100,100,Europe
Italy,2010,830,830,620,1100,Europe
Jamaica,2010,1800,1800,1500,2100,Americas
Japan,2010,NULL,NULL,NULL,NULL,Western_Pacific
Jordan,2010,100,100,100,100,Eastern_Mediterranean
Kazakhstan,2010,500,500,500,500,Europe
Kenya,2010,56000,56000,41000,86000,Africa
Kuwait,2010,100,100,100,100,Eastern_Mediterranean
Kyrgyzstan,2010,200,200,100,200,Europe
Lao People's Democratic Republic,2010,500,500,500,500,Western_Pacific
Latvia,2010,200,200,200,200,Europe
Lebanon,2010,100,100,100,100,Eastern_Mediterranean
Lesotho,2010,7200,7200,5600,10000,Africa
Liberia,2010,2700,2700,2600,2900,Africa
Libya,2010,100,100,100,200,Eastern_Mediterranean
Lithuania,2010,NULL,NULL,NULL,NULL,Europe
Luxembourg,2010,100,100,100,100,Europe
Madagascar,2010,1400,1400,1000,1700,Africa
Malawi,2010,29000,29000,25000,33000,Africa
Malaysia,2010,2900,2900,2400,3300,Western_Pacific
Maldives,2010,NULL,NULL,NULL,NULL,South_East Asia
Mali,2010,5300,5300,4100,6700,Africa
Malta,2010,NULL,NULL,NULL,NULL,Europe
Mauritania,2010,500,500,500,500,Africa
Mauritius,2010,500,500,500,680,Africa
Mexico,2010,NULL,NULL,NULL,NULL,Americas
Mongolia,2010,100,100,100,100,Western_Pacific
Montenegro,2010,100,100,100,100,Europe
Morocco,2010,550,550,500,840,Eastern_Mediterranean
Mozambique,2010,64000,64000,46000,87000,Africa
Myanmar,2010,11000,11000,9600,13000,South_East Asia
Namibia,2010,3500,3500,3000,3900,Africa
Nepal,2010,1400,1400,1200,1700,South_East Asia
Netherlands,2010,200,200,200,500,Europe
New Zealand,2010,100,100,100,100,Western_Pacific
Nicaragua,2010,500,500,200,500,Americas
Niger,2010,1700,1700,1300,2100,Africa
Nigeria,2010,72000,72000,42000,120000,Africa
Norway,2010,100,100,100,100,Europe
Oman,2010,100,100,100,100,Eastern_Mediterranean
Pakistan,2010,1400,1400,870,1900,Eastern_Mediterranean
Panama,2010,500,500,500,570,Americas
Papua New Guinea,2010,NULL,NULL,NULL,NULL,Western_Pacific
Paraguay,2010,790,790,540,1200,Americas
Peru,2010,2100,2100,1400,3300,Americas
Philippines,2010,500,500,200,500,Western_Pacific
Poland,2010,NULL,NULL,NULL,NULL,Europe
Portugal,2010,930,930,730,1200,Europe
Qatar,2010,NULL,NULL,NULL,NULL,Eastern_Mediterranean
Republic of Korea,2010,NULL,NULL,NULL,NULL,Western_Pacific
Republic of Moldova,2010,740,740,510,1100,Europe
Republic of North Macedonia,2010,100,100,100,100,Europe
Romania,2010,200,200,100,200,Europe
Russian Federation,2010,NULL,NULL,NULL,NULL,Europe
Rwanda,2010,5700,5700,4700,7100,Africa
Saudi Arabia,2010,NULL,NULL,NULL,NULL,Eastern_Mediterranean
Senegal,2010,1300,1300,1000,1800,Africa
Serbia,2010,100,100,100,100,Europe
Sierra Leone,2010,2900,2900,2400,3600,Africa
Singapore,2010,100,100,100,200,Western_Pacific
Slovakia,2010,100,100,100,100,Europe
Slovenia,2010,100,100,100,100,Europe
Somalia,2010,1400,1400,1200,1700,Eastern_Mediterranean
South Africa,2010,140000,140000,110000,170000,Africa
South Sudan,2010,9800,9800,7300,13000,Africa
Spain,2010,1300,1300,1100,1700,Europe
Sri Lanka,2010,500,500,200,500,South_East Asia
Sudan,2010,1900,1900,1300,2600,Eastern_Mediterranean
Suriname,2010,200,200,100,500,Americas
Sweden,2010,NULL,NULL,NULL,NULL,Europe
Switzerland,2010,NULL,NULL,NULL,NULL,Europe
Syrian Arab Republic,2010,100,100,100,100,Eastern_Mediterranean
Tajikistan,2010,500,500,500,560,Europe
Thailand,2010,27000,27000,19000,36000,South_East Asia
Timor-Leste,2010,NULL,NULL,NULL,NULL,South_East Asia
Togo,2010,5700,5700,5100,6300,Africa
Trinidad and Tobago,2010,NULL,NULL,NULL,NULL,Americas
Tunisia,2010,100,100,100,100,Eastern_Mediterranean
Turkey,2010,NULL,NULL,NULL,NULL,Europe
Turkmenistan,2010,NULL,NULL,NULL,NULL,Europe
Uganda,2010,56000,56000,48000,66000,Africa
Ukraine,2010,12000,12000,10000,15000,Europe
United Arab Emirates,2010,NULL,NULL,NULL,NULL,Eastern_Mediterranean
United Kingdom of Great Britain and Northern Ireland,2010,NULL,NULL,NULL,NULL,Europe
United Republic of Tanzania,2010,48000,48000,42000,53000,Africa
United States of America,2010,NULL,NULL,NULL,NULL,Americas
Uruguay,2010,500,500,200,500,Americas
Uzbekistan,2010,1800,1800,1700,1900,Europe
Venezuela (Bolivarian Republic of),2010,NULL,NULL,NULL,NULL,Americas
Viet Nam,2010,8500,8500,6400,9800,Western_Pacific
Yemen,2010,200,200,100,500,Eastern_Mediterranean
Zambia,2010,26000,26000,21000,35000,Africa
Zimbabwe,2010,54000,54000,43000,68000,Africa
Afghanistan,2000,100,100,100,500,Eastern_Mediterranean
Albania,2000,NULL,NULL,NULL,NULL,Europe
Algeria,2000,100,100,100,100,Africa
Angola,2000,4800,4800,3500,6400,Africa
Argentina,2000,1400,1400,1200,1700,Americas
Armenia,2000,100,100,100,100,Europe
Australia,2000,500,500,200,500,Western_Pacific
Austria,2000,NULL,NULL,NULL,NULL,Europe
Azerbaijan,2000,NULL,NULL,NULL,NULL,Europe
Bahamas,2000,500,500,500,500,Americas
Bahrain,2000,NULL,NULL,NULL,NULL,Eastern_Mediterranean
Bangladesh,2000,100,100,100,100,South_East Asia
Barbados,2000,100,100,100,100,Americas
Belarus,2000,100,100,100,100,Europe
Belgium,2000,NULL,NULL,NULL,NULL,Europe
Belize,2000,100,100,100,100,Americas
Benin,2000,2400,2400,1200,4900,Africa
Bhutan,2000,100,100,100,100,South_East Asia
Bolivia (Plurinational State of),2000,670,670,500,830,Americas
Bosnia and Herzegovina,2000,100,100,100,100,Europe
Botswana,2000,15000,15000,13000,18000,Africa
Brazil,2000,15000,15000,11000,20000,Americas
Brunei Darussalam,2000,NULL,NULL,NULL,NULL,Western_Pacific
Bulgaria,2000,100,100,100,100,Europe
Burkina Faso,2000,12000,12000,9300,15000,Africa
Burundi,2000,11000,11000,7800,13000,Africa
Cabo Verde,2000,200,200,100,200,Africa
Cambodia,2000,4500,4500,3200,5800,Western_Pacific
Cameroon,2000,19000,19000,15000,24000,Africa
Canada,2000,NULL,NULL,NULL,NULL,Americas
Central African Republic,2000,11000,11000,8400,14000,Africa
Chad,2000,5600,5600,3800,7700,Africa
Chile,2000,NULL,NULL,NULL,NULL,Americas
China,2000,NULL,NULL,NULL,NULL,Western_Pacific
Colombia,2000,NULL,NULL,NULL,NULL,Americas
Comoros,2000,100,100,100,100,Africa
Congo,2000,6100,6100,4700,7800,Americas
Costa Rica,2000,500,500,500,500,Americas
Côte d'Ivoire,2000,44000,44000,32000,63000,Africa
Croatia,2000,100,100,100,100,Europe
Cuba,2000,200,200,200,500,Americas
Cyprus,2000,NULL,NULL,NULL,NULL,Europe
Czechia,2000,100,100,100,100,Europe
Democratic People's Republic of Korea,2000,NULL,NULL,NULL,NULL,Western_Pacific
Democratic Republic of the Congo,2000,43000,43000,35000,49000,Africa
Denmark,2000,100,100,100,100,Europe
Djibouti,2000,500,500,500,690,Eastern_Mediterranean
Dominican Republic,2000,4800,4800,3100,7100,Americas
Ecuador,2000,1500,1500,620,2600,Americas
Egypt,2000,100,100,100,100,Eastern_Mediterranean
El Salvador,2000,810,810,580,1000,Americas
Equatorial Guinea,2000,680,680,500,1000,Africa
Eritrea,2000,1100,1100,690,1500,Africa
Estonia,2000,100,100,100,100,Europe
Eswatini,2000,5000,5000,4000,6100,Africa
Ethiopia,2000,58000,58000,35000,100000,Africa
Fiji,2000,NULL,NULL,NULL,NULL,Western_Pacific
Finland,2000,100,100,100,100,Europe
France,2000,880,880,720,1000,Europe
Gabon,2000,1600,1600,1100,2300,Africa
Gambia,2000,500,500,500,620,Africa
Georgia,2000,100,100,100,100,Europe
Germany,2000,880,880,690,1100,Europe
Ghana,2000,18000,18000,15000,22000,Africa
Greece,2000,NULL,NULL,NULL,NULL,Europe
Guatemala,2000,2400,2400,2000,2700,Americas
Guinea,2000,5000,5000,3400,7000,Africa
Guinea-Bissau,2000,1100,1100,850,1400,Africa
Guyana,2000,100,100,100,200,Americas
Haiti,2000,12000,12000,9400,15000,Americas
Honduras,2000,3200,3200,2300,4000,Americas
Hungary,2000,100,100,100,100,Europe
Iceland,2000,100,100,100,100,Europe
India,2000,NULL,NULL,NULL,NULL,South_East Asia
Indonesia,2000,1900,1900,1200,2500,South_East Asia
Iran (Islamic Republic of),2000,500,500,500,1400,Eastern_Mediterranean
Ireland,2000,100,100,100,100,Europe
Israel,2000,100,100,100,100,Europe
Italy,2000,1200,1200,1000,1500,Europe
Jamaica,2000,2400,2400,1900,3100,Americas
Japan,2000,NULL,NULL,NULL,NULL,Western_Pacific
Jordan,2000,100,100,100,100,Eastern_Mediterranean
Kazakhstan,2000,100,100,100,100,Europe
Kenya,2000,120000,120000,88000,190000,Africa
Kuwait,2000,100,100,100,100,Eastern_Mediterranean
Kyrgyzstan,2000,100,100,100,100,Europe
Lao People's Democratic Republic,2000,100,100,100,100,Western_Pacific
Latvia,2000,100,100,100,200,Europe
Lebanon,2000,100,100,100,100,Eastern_Mediterranean
Lesotho,2000,12000,12000,9000,16000,Africa
Liberia,2000,3000,3000,2600,3400,Africa
Libya,2000,100,100,100,100,Eastern_Mediterranean
Lithuania,2000,NULL,NULL,NULL,NULL,Europe
Luxembourg,2000,100,100,100,100,Europe
Madagascar,2000,500,500,200,930,Africa
Malawi,2000,57000,57000,49000,65000,Africa
Malaysia,2000,2700,2700,2200,3200,Western_Pacific
Maldives,2000,NULL,NULL,NULL,NULL,South_East Asia
Mali,2000,7700,7700,5600,9800,Africa
Malta,2000,NULL,NULL,NULL,NULL,Europe
Mauritania,2000,500,500,200,500,Africa
Mauritius,2000,100,100,100,200,Africa
Mexico,2000,NULL,NULL,NULL,NULL,Americas
Mongolia,2000,100,100,100,100,Western_Pacific
Montenegro,2000,100,100,100,100,Europe
Morocco,2000,500,500,500,680,Eastern_Mediterranean
Mozambique,2000,40000,40000,29000,54000,Africa
Myanmar,2000,5800,5800,4600,6800,South_East Asia
Namibia,2000,7300,7300,5700,9100,Africa
Nepal,2000,500,500,500,500,South_East Asia
Netherlands,2000,200,200,200,200,Europe
New Zealand,2000,100,100,100,100,Western_Pacific
Nicaragua,2000,100,100,100,500,Americas
Niger,2000,2300,2300,1700,3000,Africa
Nigeria,2000,78000,78000,45000,130000,Africa
Norway,2000,100,100,100,100,Europe
Oman,2000,100,100,100,100,Eastern_Mediterranean
Pakistan,2000,100,100,100,100,Eastern_Mediterranean
Panama,2000,500,500,500,500,Americas
Papua New Guinea,2000,NULL,NULL,NULL,NULL,Western_Pacific
Paraguay,2000,500,500,200,920,Americas
Peru,2000,5100,5100,3800,7000,Americas
Philippines,2000,100,100,100,100,Western_Pacific
Poland,2000,NULL,NULL,NULL,NULL,Europe
Portugal,2000,1100,1100,890,1400,Europe
Qatar,2000,NULL,NULL,NULL,NULL,Eastern_Mediterranean
Republic of Korea,2000,NULL,NULL,NULL,NULL,Western_Pacific
Republic of Moldova,2000,500,500,500,500,Europe
Republic of North Macedonia,2000,100,100,100,100,Europe
Romania,2000,500,500,500,500,Europe
Russian Federation,2000,NULL,NULL,NULL,NULL,Europe
Rwanda,2000,18000,18000,14000,22000,Africa
Saudi Arabia,2000,NULL,NULL,NULL,NULL,Eastern_Mediterranean
Senegal,2000,1700,1700,1300,2300,Africa
Serbia,2000,200,200,100,200,Europe
Sierra Leone,2000,2400,2400,1600,3300,Africa
Singapore,2000,NULL,NULL,NULL,NULL,Western_Pacific
Slovakia,2000,100,100,100,100,Europe
Slovenia,2000,100,100,100,100,Europe
Somalia,2000,810,810,560,1100,Eastern_Mediterranean
South Africa,2000,100000,100000,68000,140000,Africa
South Sudan,2000,5100,5100,2600,7500,Africa
Spain,2000,1800,1800,1500,2300,Europe
Sri Lanka,2000,100,100,100,100,South_East Asia
Sudan,2000,650,650,500,1700,Eastern_Mediterranean
Suriname,2000,200,200,100,500,Americas
Sweden,2000,NULL,NULL,NULL,NULL,Europe
Switzerland,2000,NULL,NULL,NULL,NULL,Europe
Syrian Arab Republic,2000,100,100,100,100,Eastern_Mediterranean
Tajikistan,2000,100,100,100,100,Europe
Thailand,2000,54000,54000,45000,62000,South_East Asia
Timor-Leste,2000,NULL,NULL,NULL,NULL,South_East Asia
Togo,2000,5600,5600,5000,6300,Africa
Trinidad and Tobago,2000,NULL,NULL,NULL,NULL,Americas
Tunisia,2000,100,100,100,100,Eastern_Mediterranean
Turkey,2000,NULL,NULL,NULL,NULL,Europe
Turkmenistan,2000,NULL,NULL,NULL,NULL,Europe
Uganda,2000,85000,85000,75000,99000,Africa
Ukraine,2000,4500,4500,3100,6200,Europe
United Arab Emirates,2000,NULL,NULL,NULL,NULL,Eastern_Mediterranean
United Kingdom of Great Britain and Northern Ireland,2000,NULL,NULL,NULL,NULL,Europe
United Republic of Tanzania,2000,80000,80000,69000,90000,Africa
United States of America,2000,NULL,NULL,NULL,NULL,Americas
Uruguay,2000,500,500,100,500,Americas
Uzbekistan,2000,840,840,740,920,Europe
Venezuela (Bolivarian Republic of),2000,NULL,NULL,NULL,NULL,Americas
Viet Nam,2000,6100,6100,4300,7800,Western_Pacific
Yemen,2000,100,100,100,200,Eastern_Mediterranean
Zambia,2000,62000,62000,49000,81000,Africa
Zimbabwe,2000,120000,120000,98000,150000,Africa
